"fecha","hora_inicio","hora_fin","modalidad","participantes_nombre_usuario","ruta_artefacto","decisiones_tomadas","commits_producidos","tipo_sesion","tipo","ruta_nota_campo"
"2026-07-21","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","ptigasis-Alexander","ver commits","Solo se registran commits genéricos 'Add files via upload' en esta fecha; sin mensaje descriptivo adicional disponible.","0938a48; 0f4e89c; 16b9d4b; 21f42cb; 24575cd; 2467064; 5f380c5; 634373c; 6b60bea; 72055ad; 7375011; 8f867eb; b7c1c09; bf3205d; bf840bc; c1dab3b; c2fcaad; caf0232; d7e0795; d801b50; dc577d4; ebd2891; f1e0cd4","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-07-27","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; ptigasis-Alexander","ver commits","Carga inicial de fotografías del entorno del centro médico (fachada, sala de espera, acceso).","1785096; a8137cd; ba90f09; 153c892","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-07-28","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405; mtrujillov-sys; ptigasis-Alexander","ver commits","Organización y renombrado de fotos de entorno (psicología, terapia física, archivo, coordinación, obstetricia); creación de índices de carpetas (Transcripcion_.md, Exportados_.md).","04c9479; 0c51e2f; 399dda7; 441af9f; 4a0f8dc; 4dbb04f; 5713eea; 6ed7066; 7ff9e7e; 875ba62; 90599d6; 9851850; b5e3d88; b752397; c5b21da; d5c79e0; e86db3e; e96e661; eec19cc; f0fa320; 0128977; 0fb2437; 2d004e3; 7eeb458; 92d24d9; d1027e3; 1e04476; a303d56; 1f33444; 219be87; 473bcb4; ecf7f34","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-07-30","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","Jami1405; Thais Melanie Herrera Ramos; ptigasis-Alexander","ver commits","Limpieza de transcripciones duplicadas en formato .docx; incorporación de ORCID de los 5 integrantes en CITATION.cff; documentación de respuestas del cuestionario.","1ee24e3; 24ef1bd; 3d3d435; 5b883a1; 9880fe4; d4c8b01; f05fe2e; f6fa43e; 2755bb9; 33094d4; 46531f1; 6e6e9e5; 93caf20; 0e14606; 612b010; 785e06a; dd810d0; ea19f55","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-07-31","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","Jami1405","ver commits","Solo se registran commits genéricos 'Add files via upload' en esta fecha; sin mensaje descriptivo adicional disponible.","da1b3ed","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-08-01","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Reorganización estructural de 02_Evidencias (transcripciones movidas a carpeta propia, reestructuración de Cuestionario); creación de guías de verificación; creación de 08_Etica_.md; corrección de URL del repositorio en CITATION.cff.","0d1e1d4; 2896726; 374bfd6; 4901738; 5d62e49; 62171e4; 62abd73; 69c7812; 77a8c42; 94c5d1a; 976eb7d; b4fc177; bd5c1dc; be8e33c; c28918c; c5f35f1; cb81e82; d894dc0; eb15619; 1abba19; 77521ee; a670d3a; dd9b7cc; 03063ff; 0aa014f; 1576ece; 17b5595; 1fff03c; 2d0c4c9; 33ebe94; 3a5e540; 48f2682; 5da3d69; 5dda0bc; 5fd57c4; 62996bd; 678e9b0; 68426e3; 7431f09; 777f5b4; 7b5f5c8; 882296a; 904cfec; 90c123a; ad1a98a; b0c9aa6; b41fc55; cc679c4; cdd90a4; e446fe4; e7e15d6; fb64e99; fbe1f3b; fd4f37f; fe50efc; 166297d; 6255748","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-08-02","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Creación masiva de mockups de interfaz (MU-01 a MU-12) para los distintos roles del sistema; consolidación de archivos del ERS 2A; creación de guías de verificación de codificación temática y transcripciones; renombrado del script de checksums (con el error de tipeo detectado y corregido después).","0d6672a; 0f39bc8; 1374cc7; 1cd19e3; 241b828; 25bfab2; 2c46264; 3b58e98; 4423dfd; 550ef50; 5cca000; 615ed1a; 63f650e; 64d3f6b; 69b8a89; 6d8165d; 6e57623; 789bc2d; 7f07881; 800d205; 817333a; 85334af; 892c11a; 89e8819; 8d6ee82; 9384c95; 992f384; 9a0845a; 9f67ead; a1019a8; a694910; a75032c; b1d022c; b20a483; b8bebe9; bc626a3; c12c012; c7cd515; d22fee8; d625bd3; d775fb0; d9cbc2c; dc3da6a; e22fa5f; f124095; f27fd3d; f552af0; 05116b8; 05d2246; 0bb42cf; 1bc0a5f; 230683b; 244a81b; c5d28e0; e6e653b; fa5ac92; 18c8f42; 1a77346; 1c21e2e; 337cf06; 3a4a875; 66dd174; 6766fc0; 6a88071; 73d9787; 847426b; 86718b5; 8a6b7bb; 8e2cc80; 995a3e7; 9ab3649; a2eda21; a813a44; b049731; b3b423e; b78191d; bdfbd1f; c4896c3; d0c630c; da04bf8; e572da5; f58caa0; fbad684","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-08-03","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","ptigasis-Alexander","ver commits","Mejora de la documentación del MVP con detalles del proyecto.","5fd5f3d","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-08-18","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","Thais Melanie Herrera Ramos; ptigasis-Alexander","ver commits","Trabajo en práctica independiente 'PE5_U5' (Unidad V), no relacionada directamente con el PFC MediCita — carpeta eliminada posteriormente del repositorio.","aa626de; 27cac12; 367160a; 38e10ac; 5b86593; 9183d6a; 9643e0f; f2d632f","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-08-19","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","Thais Melanie Herrera Ramos; ptigasis-Alexander","ver commits","Continuación de la práctica PE5 independiente; eliminación de los archivos de la carpeta PE5_U5_PFC_DIAZ_TIGASI_VERA del repositorio.","0039637; 4647de7; 61e6c2c; 668fd1d; 684a5eb; a820393; bb2ac0a; 2cd9c41; 2e9dad5","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-08-20","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Trabajo en otra práctica independiente de Unidad V (PE5_U5_PFC_DIAZ_GAMARRA_HERRERA_TIGASI_TRUJILLO), distinta de la anterior.","13e1268; 3e0eb37; 623fe01; 8063fde; d634ca7; 05de6f8; b8ad19d; 39f7108; 64571a0","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-08-21","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Finalización y documentación completa de la práctica PE5 (Unidad V) mencionada en los dos días anteriores.","063427b; 148090f; 39dfb7d; 5b4620f; c17aca5; c41f82a; c653e0f; f1ae1d5; 0c0d461; 54b2a82; 845ca90; 99cc7d8; cc676af; 733e98f; 87f2d68; c6749eb; e21fb8d; 68ae6f1; 83d6b79; 9f6aa28; f127dd5; f9c112b; 53f3e05; 87a7808; 9aafeff","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-08-31","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Jornada intensiva de anonimización de evidencia: difuminado de rostros, ocultamiento de cédulas en consentimientos y en los anexos A6/A7, anonimización de encuestados; corrección de nombres de archivos de consentimiento; subida de documentos éticos faltantes (A5, A8, Adenda de la Entrega 2B, Oficio de Respaldo); creación de defensa.md; organización final de los fragmentos de video restringido.","022b1c8; 05789e8; 09f4d1c; 0edb72f; 1d32629; 2959cf2; 3d688e2; 3e00e14; 3e7c59f; 4088aaa; 4923b9f; 4a0cd98; 4c2e4d1; 5aa143b; 63ce023; 6f447c7; 70aae5c; 743184a; 7615dbe; 87251e6; 87de2ee; 8d541bc; 8e3f5e5; 8e61484; 946ec32; b7f8ef6; bde9e33; c217c2b; c94d0dc; cb32737; cc7c939; d931ab6; dda1a6e; f631aab; f990038; fc5de10; fdbe9cc","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
"2026-09-01","21:00","01:00","Virtual (videollamada/chat de WhatsApp)","DIAZ PONTON STEVEN; Jami1405; Thais Melanie Herrera Ramos; mtrujillov-sys; ptigasis-Alexander","ver commits","Solo se registran commits genéricos 'Add files via upload' en esta fecha; sin mensaje descriptivo adicional disponible.","006dbf2; 00b7ddc; 0a0446d; 0eef617; 0f8bcd5; 110a323; 1229f41; 178cb9a; 1a74252; 1b0c4ac; 1e7669f; 1eac17c; 1f7c295; 203f959; 20c7dfb; 22eaf78; 2846eae; 2d0457e; 30b5d5f; 319a983; 374ed61; 386fbad; 39d88b3; 3abde16; 3ed8e57; 42d65e0; 4376d74; 473ee8c; 482c426; 48e4fe4; 4ba00e5; 4bf9acb; 4c7c852; 4ffb801; 50b99ba; 559ce88; 55f59c3; 5630426; 580063c; 582e2ed; 5c62571; 5e2bd35; 5ea07b0; 66042e1; 69fbaa3; 6a8f958; 6ce4da2; 6e17785; 77f8bfe; 797d655; 7c6724b; 80ba9ce; 836d533; 89513eb; 89e9199; 8aa0ed2; 8b56f86; 8c5054a; 8d86c2d; 95cc4a4; a045211; a1c1bed; a548327; a59f9ea; a649fb3; a69dd86; ace79ae; ae8415b; b07b00a; b0af345; b3f4bfd; b441882; ba384fa; bb2390b; bdebf02; beed518; bf36c3c; c0eb98d; c35ed45; c4049ff; c41c732; c6cf203; c8bf6c4; cc0e838; cfb1ca2; d3a1583; d41d5e5; d58448b; d64aa0f; d98a4ae; dab4896; e1d9d11; e467cc2; e4f7c62; e6bf0f0; e8d0d16; ef22172; f7a8b19; fedfd16","N/A — sesión de trabajo interno del equipo (programación, organización, redacción); no es una sesión de elicitación ni de validación con participante externo","trabajo_interno","N/A"
